NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0042803 PROTEIN HOMODIMERIZATION ACTIVITY	GO:0042803 PROTEIN HOMODIMERIZATION ACTIVITY		67	-0.27604756	-1.1898271	0.13981763	0.40760964	1.0	781	tags=24%, list=15%, signal=28%	
GO:0006749 GLUTATHIONE METABOLIC PROCESS	GO:0006749 GLUTATHIONE METABOLIC PROCESS		31	-0.32324508	-1.182731	0.2140845	0.4156536	1.0	1169	tags=45%, list=22%, signal=58%	
GO:0005783 ENDOPLASMIC RETICULUM	GO:0005783 ENDOPLASMIC RETICULUM		168	-0.23379497	-1.1767391	0.10810811	0.42292866	1.0	1168	tags=29%, list=22%, signal=36%	
GO:0070328 TRIGLYCERIDE HOMEOSTASIS	GO:0070328 TRIGLYCERIDE HOMEOSTASIS		17	-0.37170762	-1.1766653	0.24538259	0.4175612	1.0	569	tags=35%, list=11%, signal=39%	
GO:0005776 AUTOPHAGOSOME	GO:0005776 AUTOPHAGOSOME		19	-0.3640956	-1.1742936	0.24060151	0.41685912	1.0	1115	tags=42%, list=21%, signal=53%	
GO:0055088 LIPID HOMEOSTASIS	GO:0055088 LIPID HOMEOSTASIS		27	-0.32686782	-1.1553253	0.22704081	0.4504749	1.0	1125	tags=33%, list=21%, signal=42%	
GO:0035725 SODIUM ION TRANSMEMBRANE TRANSPORT	GO:0035725 SODIUM ION TRANSMEMBRANE TRANSPORT		15	-0.37709588	-1.1368082	0.2857143	0.48412275	1.0	854	tags=33%, list=16%, signal=40%	
GO:0007155 CELL ADHESION	GO:0007155 CELL ADHESION		28	-0.31634295	-1.1286151	0.25396827	0.4958867	1.0	664	tags=25%, list=13%, signal=28%	
GO:0008104 PROTEIN LOCALIZATION	GO:0008104 PROTEIN LOCALIZATION		35	-0.30188254	-1.1266767	0.24285714	0.49403167	1.0	340	tags=17%, list=6%, signal=18%	
GO:0005770 LATE ENDOSOME	GO:0005770 LATE ENDOSOME		28	-0.3167357	-1.1215407	0.27731094	0.49944544	1.0	672	tags=29%, list=13%, signal=33%	
GO:0007112 MALE MEIOSIS CYTOKINESIS	GO:0007112 MALE MEIOSIS CYTOKINESIS		20	-0.34823468	-1.1201419	0.2777778	0.49640712	1.0	1278	tags=45%, list=24%, signal=59%	
GO:0005874 MICROTUBULE	GO:0005874 MICROTUBULE		31	-0.302133	-1.1146369	0.28882834	0.50279987	1.0	801	tags=32%, list=15%, signal=38%	
GO:0035220 WING DISC DEVELOPMENT	GO:0035220 WING DISC DEVELOPMENT		41	-0.2814064	-1.1105149	0.24776119	0.5057836	1.0	624	tags=24%, list=12%, signal=27%	
GO:0005739 MITOCHONDRION	GO:0005739 MITOCHONDRION		421	-0.19830057	-1.1045682	0.1294964	0.513021	1.0	877	tags=21%, list=17%, signal=23%	
GO:0005838 PROTEASOME REGULATORY PARTICLE	GO:0005838 PROTEASOME REGULATORY PARTICLE		18	-0.3412056	-1.0785868	0.33756346	0.5674763	1.0	690	tags=28%, list=13%, signal=32%	
GO:0051015 ACTIN FILAMENT BINDING	GO:0051015 ACTIN FILAMENT BINDING		57	-0.2525804	-1.0710274	0.303207	0.5793223	1.0	1227	tags=33%, list=23%, signal=43%	
GO:0010468 REGULATION OF GENE EXPRESSION	GO:0010468 REGULATION OF GENE EXPRESSION		50	-0.26252657	-1.0704299	0.32698414	0.5742998	1.0	452	tags=18%, list=9%, signal=19%	
GO:0007420 BRAIN DEVELOPMENT	GO:0007420 BRAIN DEVELOPMENT		19	-0.33564678	-1.0651716	0.35732648	0.5806506	1.0	255	tags=21%, list=5%, signal=22%	
GO:0045752 POSITIVE REGULATION OF TOLL SIGNALING PATHWAY	GO:0045752 POSITIVE REGULATION OF TOLL SIGNALING PATHWAY		15	-0.36248565	-1.0643893	0.33254156	0.57619816	1.0	688	tags=27%, list=13%, signal=31%	
GO:0034976 RESPONSE TO ENDOPLASMIC RETICULUM STRESS	GO:0034976 RESPONSE TO ENDOPLASMIC RETICULUM STRESS		22	-0.30777472	-1.0222441	0.40055248	0.6781943	1.0	873	tags=32%, list=17%, signal=38%	
GO:0045087 INNATE IMMUNE RESPONSE	GO:0045087 INNATE IMMUNE RESPONSE		20	-0.3029354	-1.014298	0.41361257	0.6924127	1.0	709	tags=25%, list=13%, signal=29%	
GO:0007435 SALIVARY GLAND MORPHOGENESIS	GO:0007435 SALIVARY GLAND MORPHOGENESIS		21	-0.29994938	-1.001058	0.4219178	0.72195107	1.0	1033	tags=33%, list=20%, signal=41%	
GO:0005769 EARLY ENDOSOME	GO:0005769 EARLY ENDOSOME		50	-0.23853007	-0.9868522	0.47126436	0.7540546	1.0	1167	tags=30%, list=22%, signal=38%	
GO:0045177 APICAL PART OF CELL	GO:0045177 APICAL PART OF CELL		31	-0.26732427	-0.98366034	0.45747802	0.75514084	1.0	1268	tags=42%, list=24%, signal=55%	
GO:0098609 CELL-CELL ADHESION	GO:0098609 CELL-CELL ADHESION		29	-0.27341527	-0.9834836	0.47671232	0.7478095	1.0	1227	tags=38%, list=23%, signal=49%	
GO:0007186 G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY	GO:0007186 G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY		51	-0.24174023	-0.9767804	0.50773996	0.75925547	1.0	379	tags=14%, list=7%, signal=15%	
GO:0035206 REGULATION OF HEMOCYTE PROLIFERATION	GO:0035206 REGULATION OF HEMOCYTE PROLIFERATION		16	-0.31664276	-0.97325236	0.46095717	0.7614968	1.0	530	tags=19%, list=10%, signal=21%	
GO:0003333 AMINO ACID TRANSMEMBRANE TRANSPORT	GO:0003333 AMINO ACID TRANSMEMBRANE TRANSPORT		18	-0.30833247	-0.9708549	0.5012285	0.7605819	1.0	1208	tags=33%, list=23%, signal=43%	
GO:0051726 REGULATION OF CELL CYCLE	GO:0051726 REGULATION OF CELL CYCLE		21	-0.2929222	-0.968037	0.50642675	0.76062316	1.0	585	tags=19%, list=11%, signal=21%	
GO:0007498 MESODERM DEVELOPMENT	GO:0007498 MESODERM DEVELOPMENT		27	-0.26899916	-0.9655445	0.49100256	0.75985235	1.0	622	tags=22%, list=12%, signal=25%	
GO:0030018 Z DISC	GO:0030018 Z DISC		40	-0.25124544	-0.9616914	0.5350877	0.7630669	1.0	1227	tags=28%, list=23%, signal=36%	
GO:0001664 G PROTEIN-COUPLED RECEPTOR BINDING	GO:0001664 G PROTEIN-COUPLED RECEPTOR BINDING		15	-0.3175247	-0.9583723	0.4987593	0.764728	1.0	206	tags=20%, list=4%, signal=21%	
GO:0042048 OLFACTORY BEHAVIOR	GO:0042048 OLFACTORY BEHAVIOR		18	-0.30448672	-0.9471811	0.5201005	0.7869243	1.0	286	tags=22%, list=5%, signal=23%	
GO:0035099 HEMOCYTE MIGRATION	GO:0035099 HEMOCYTE MIGRATION		17	-0.3043586	-0.9405962	0.5259434	0.79750663	1.0	490	tags=18%, list=9%, signal=19%	
