NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0030234 ENZYME REGULATOR ACTIVITY	GO:0030234 ENZYME REGULATOR ACTIVITY		19	0.3945354	1.1754887	0.23742138	0.43190512	1.0	1551	tags=37%, list=29%, signal=52%	
GO:0042802 IDENTICAL PROTEIN BINDING	GO:0042802 IDENTICAL PROTEIN BINDING		20	0.38498908	1.1748748	0.23986487	0.43068182	1.0	1769	tags=55%, list=33%, signal=82%	
GO:0048167 REGULATION OF SYNAPTIC PLASTICITY	GO:0048167 REGULATION OF SYNAPTIC PLASTICITY		16	0.41914505	1.172264	0.27213115	0.4335963	1.0	1166	tags=38%, list=22%, signal=48%	
GO:0007476 IMAGINAL DISC-DERIVED WING MORPHOGENESIS	GO:0007476 IMAGINAL DISC-DERIVED WING MORPHOGENESIS		61	0.30020842	1.168029	0.20091324	0.4398199	1.0	1299	tags=31%, list=25%, signal=41%	
GO:0007480 IMAGINAL DISC-DERIVED LEG MORPHOGENESIS	GO:0007480 IMAGINAL DISC-DERIVED LEG MORPHOGENESIS		21	0.38791502	1.1659433	0.26003212	0.44182348	1.0	1780	tags=52%, list=34%, signal=79%	
GO:0060271 CILIUM ASSEMBLY	GO:0060271 CILIUM ASSEMBLY		15	0.42141464	1.1581914	0.27625203	0.45539775	1.0	1468	tags=40%, list=28%, signal=55%	
GO:0005768 ENDOSOME	GO:0005768 ENDOSOME		56	0.2967765	1.1425059	0.23923445	0.48679718	1.0	1133	tags=30%, list=21%, signal=38%	
GO:0030833 REGULATION OF ACTIN FILAMENT POLYMERIZATION	GO:0030833 REGULATION OF ACTIN FILAMENT POLYMERIZATION		21	0.37302846	1.141717	0.26262626	0.48595667	1.0	1086	tags=38%, list=21%, signal=48%	
GO:0003724 RNA HELICASE ACTIVITY	GO:0003724 RNA HELICASE ACTIVITY		28	0.3515887	1.1400511	0.2784	0.48708284	1.0	1965	tags=54%, list=37%, signal=85%	
GO:0016197 ENDOSOMAL TRANSPORT	GO:0016197 ENDOSOMAL TRANSPORT		26	0.35297537	1.139402	0.28139904	0.4858724	1.0	1310	tags=38%, list=25%, signal=51%	
GO:0051491 POSITIVE REGULATION OF FILOPODIUM ASSEMBLY	GO:0051491 POSITIVE REGULATION OF FILOPODIUM ASSEMBLY		22	0.3645916	1.138592	0.2966507	0.48495466	1.0	1255	tags=45%, list=24%, signal=59%	
GO:0008355 OLFACTORY LEARNING	GO:0008355 OLFACTORY LEARNING		24	0.3681835	1.1380062	0.2731872	0.48372287	1.0	2072	tags=67%, list=39%, signal=109%	
GO:0031305 INTEGRAL COMPONENT OF MITOCHONDRIAL INNER MEMBRANE	GO:0031305 INTEGRAL COMPONENT OF MITOCHONDRIAL INNER MEMBRANE		17	0.39781365	1.1376786	0.3061564	0.48193336	1.0	1674	tags=53%, list=32%, signal=77%	
GO:0008284 POSITIVE REGULATION OF CELL POPULATION PROLIFERATION	GO:0008284 POSITIVE REGULATION OF CELL POPULATION PROLIFERATION		24	0.35699806	1.1360921	0.27884614	0.48301998	1.0	636	tags=29%, list=12%, signal=33%	
GO:0045793 POSITIVE REGULATION OF CELL SIZE	GO:0045793 POSITIVE REGULATION OF CELL SIZE		33	0.33384418	1.1337465	0.2933754	0.48537174	1.0	1194	tags=30%, list=23%, signal=39%	
GO:0007444 IMAGINAL DISC DEVELOPMENT	GO:0007444 IMAGINAL DISC DEVELOPMENT		16	0.38711864	1.13189	0.28741497	0.4869309	1.0	1745	tags=56%, list=33%, signal=84%	
GO:0005575 CELLULAR_COMPONENT	GO:0005575 CELLULAR_COMPONENT		200	0.2441628	1.1306276	0.19053708	0.4871105	1.0	1137	tags=25%, list=22%, signal=31%	
GO:0004725 PROTEIN TYROSINE PHOSPHATASE ACTIVITY	GO:0004725 PROTEIN TYROSINE PHOSPHATASE ACTIVITY		21	0.37013492	1.1290134	0.28109854	0.48801583	1.0	1601	tags=33%, list=30%, signal=48%	
GO:0008150 BIOLOGICAL_PROCESS	GO:0008150 BIOLOGICAL_PROCESS		184	0.24508771	1.1284729	0.20445609	0.4865608	1.0	1085	tags=24%, list=21%, signal=30%	
GO:0016592 MEDIATOR COMPLEX	GO:0016592 MEDIATOR COMPLEX		21	0.36981773	1.1277715	0.28547296	0.48562953	1.0	1276	tags=38%, list=24%, signal=50%	
GO:0006813 POTASSIUM ION TRANSPORT	GO:0006813 POTASSIUM ION TRANSPORT		17	0.38806397	1.1199614	0.31023103	0.4995595	1.0	1458	tags=47%, list=28%, signal=65%	
GO:0031267 SMALL GTPASE BINDING	GO:0031267 SMALL GTPASE BINDING		76	0.27380902	1.1194316	0.2580645	0.49831057	1.0	1119	tags=25%, list=21%, signal=31%	
GO:0005525 GTP BINDING	GO:0005525 GTP BINDING		116	0.25731874	1.1191545	0.21947874	0.4963926	1.0	1508	tags=36%, list=29%, signal=50%	
GO:0007015 ACTIN FILAMENT ORGANIZATION	GO:0007015 ACTIN FILAMENT ORGANIZATION		44	0.30299914	1.114027	0.29968455	0.50482064	1.0	538	tags=20%, list=10%, signal=23%	
GO:0030496 MIDBODY	GO:0030496 MIDBODY		15	0.3920603	1.108156	0.3349917	0.5143891	1.0	890	tags=33%, list=17%, signal=40%	
GO:0007614 SHORT-TERM MEMORY	GO:0007614 SHORT-TERM MEMORY		22	0.3534354	1.1066241	0.3115578	0.5152979	1.0	2191	tags=55%, list=41%, signal=93%	
GO:0050770 REGULATION OF AXONOGENESIS	GO:0050770 REGULATION OF AXONOGENESIS		18	0.3770265	1.10416	0.33	0.5180531	1.0	1756	tags=50%, list=33%, signal=75%	
GO:0031146 SCF-DEPENDENT PROTEASOMAL UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS	GO:0031146 SCF-DEPENDENT PROTEASOMAL UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS		15	0.39820373	1.102885	0.31907308	0.518263	1.0	1906	tags=73%, list=36%, signal=114%	
GO:0042059 NEGATIVE REGULATION OF EPIDERMAL GROWTH FACTOR RECEPTOR SIGNALING PATHWAY	GO:0042059 NEGATIVE REGULATION OF EPIDERMAL GROWTH FACTOR RECEPTOR SIGNALING PATHWAY		16	0.3880702	1.095933	0.35031846	0.5305255	1.0	1166	tags=44%, list=22%, signal=56%	
GO:0008039 SYNAPTIC TARGET RECOGNITION	GO:0008039 SYNAPTIC TARGET RECOGNITION		20	0.36368322	1.0937734	0.3378608	0.53296894	1.0	1290	tags=35%, list=24%, signal=46%	
GO:0000792 HETEROCHROMATIN	GO:0000792 HETEROCHROMATIN		18	0.37458897	1.088743	0.32419354	0.54126	1.0	1908	tags=56%, list=36%, signal=87%	
GO:0001745 COMPOUND EYE MORPHOGENESIS	GO:0001745 COMPOUND EYE MORPHOGENESIS		51	0.2878952	1.0841833	0.31743667	0.54922324	1.0	800	tags=24%, list=15%, signal=27%	
GO:0007422 PERIPHERAL NERVOUS SYSTEM DEVELOPMENT	GO:0007422 PERIPHERAL NERVOUS SYSTEM DEVELOPMENT		17	0.3738706	1.0777158	0.35986733	0.5606032	1.0	1977	tags=59%, list=37%, signal=94%	
GO:0000278 MITOTIC CELL CYCLE	GO:0000278 MITOTIC CELL CYCLE		79	0.26430997	1.0712408	0.3230994	0.572133	1.0	1421	tags=34%, list=27%, signal=46%	
GO:0005484 SNAP RECEPTOR ACTIVITY	GO:0005484 SNAP RECEPTOR ACTIVITY		24	0.3368939	1.0688379	0.36990595	0.57493615	1.0	963	tags=21%, list=18%, signal=25%	
GO:0035332 POSITIVE REGULATION OF HIPPO SIGNALING	GO:0035332 POSITIVE REGULATION OF HIPPO SIGNALING		18	0.356419	1.0661455	0.3735726	0.57818156	1.0	1286	tags=33%, list=24%, signal=44%	
GO:0050829 DEFENSE RESPONSE TO GRAM-NEGATIVE BACTERIUM	GO:0050829 DEFENSE RESPONSE TO GRAM-NEGATIVE BACTERIUM		47	0.28986305	1.0655599	0.34303215	0.5767509	1.0	923	tags=30%, list=17%, signal=36%	
GO:0010508 POSITIVE REGULATION OF AUTOPHAGY	GO:0010508 POSITIVE REGULATION OF AUTOPHAGY		20	0.3502949	1.0643805	0.36286202	0.5767083	1.0	2107	tags=45%, list=40%, signal=75%	
GO:0043161 PROTEASOME-MEDIATED UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS	GO:0043161 PROTEASOME-MEDIATED UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS		61	0.27529982	1.0634428	0.33333334	0.5759923	1.0	1302	tags=30%, list=25%, signal=39%	
GO:0016311 DEPHOSPHORYLATION	GO:0016311 DEPHOSPHORYLATION		18	0.3651104	1.0594149	0.38628763	0.5822634	1.0	1237	tags=44%, list=23%, signal=58%	
GO:0043186 P GRANULE	GO:0043186 P GRANULE		19	0.35307235	1.0592887	0.34680134	0.57988054	1.0	326	tags=16%, list=6%, signal=17%	
GO:0008347 GLIAL CELL MIGRATION	GO:0008347 GLIAL CELL MIGRATION		16	0.3704516	1.0576996	0.3784722	0.58071125	1.0	441	tags=19%, list=8%, signal=20%	
GO:0016020 MEMBRANE	GO:0016020 MEMBRANE		198	0.22859845	1.0569563	0.3325062	0.57990074	1.0	977	tags=22%, list=18%, signal=26%	
GO:0032981 MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX I ASSEMBLY	GO:0032981 MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX I ASSEMBLY		31	0.31671593	1.052117	0.3906977	0.5882182	1.0	578	tags=19%, list=11%, signal=22%	
GO:0048149 BEHAVIORAL RESPONSE TO ETHANOL	GO:0048149 BEHAVIORAL RESPONSE TO ETHANOL		37	0.30131507	1.0454462	0.39655173	0.6009238	1.0	1400	tags=35%, list=27%, signal=47%	
GO:0048488 SYNAPTIC VESICLE ENDOCYTOSIS	GO:0048488 SYNAPTIC VESICLE ENDOCYTOSIS		31	0.3112835	1.0442235	0.3954984	0.6009985	1.0	822	tags=29%, list=16%, signal=34%	
GO:0030866 CORTICAL ACTIN CYTOSKELETON ORGANIZATION	GO:0030866 CORTICAL ACTIN CYTOSKELETON ORGANIZATION		27	0.31830296	1.0440027	0.3792	0.5988205	1.0	800	tags=22%, list=15%, signal=26%	
GO:1990904 RIBONUCLEOPROTEIN COMPLEX	GO:1990904 RIBONUCLEOPROTEIN COMPLEX		39	0.2908124	1.0342709	0.41411042	0.61906713	1.0	1186	tags=31%, list=22%, signal=39%	
GO:0043195 TERMINAL BOUTON	GO:0043195 TERMINAL BOUTON		37	0.29680717	1.0295304	0.41487604	0.627137	1.0	982	tags=27%, list=19%, signal=33%	
GO:0050821 PROTEIN STABILIZATION	GO:0050821 PROTEIN STABILIZATION		31	0.30384886	1.0279596	0.4348485	0.62801605	1.0	1355	tags=35%, list=26%, signal=47%	
GO:0008380 RNA SPLICING	GO:0008380 RNA SPLICING		18	0.3395801	1.0278314	0.42598686	0.6255883	1.0	1159	tags=33%, list=22%, signal=43%	
GO:0003924 GTPASE ACTIVITY	GO:0003924 GTPASE ACTIVITY		110	0.24080414	1.02429	0.4050633	0.63136595	1.0	1265	tags=29%, list=24%, signal=37%	
GO:0030431 SLEEP	GO:0030431 SLEEP		35	0.2978522	1.0223677	0.41784036	0.6328942	1.0	1398	tags=37%, list=26%, signal=50%	
GO:0032956 REGULATION OF ACTIN CYTOSKELETON ORGANIZATION	GO:0032956 REGULATION OF ACTIN CYTOSKELETON ORGANIZATION		16	0.3571746	1.0216253	0.41435564	0.6317695	1.0	1702	tags=50%, list=32%, signal=74%	
GO:0007411 AXON GUIDANCE	GO:0007411 AXON GUIDANCE		102	0.24034615	1.0176817	0.43550625	0.63817483	1.0	1601	tags=33%, list=30%, signal=47%	
GO:0006886 INTRACELLULAR PROTEIN TRANSPORT	GO:0006886 INTRACELLULAR PROTEIN TRANSPORT		94	0.24407825	1.0159488	0.43023255	0.6396458	1.0	1109	tags=24%, list=21%, signal=30%	
GO:0005654 NUCLEOPLASM	GO:0005654 NUCLEOPLASM		132	0.23097402	1.0090107	0.43741402	0.6528701	1.0	1675	tags=38%, list=32%, signal=54%	
GO:0006897 ENDOCYTOSIS	GO:0006897 ENDOCYTOSIS		54	0.26717386	1.0089346	0.4571006	0.650268	1.0	1319	tags=35%, list=25%, signal=46%	
GO:0046854 PHOSPHATIDYLINOSITOL PHOSPHATE BIOSYNTHETIC PROCESS	GO:0046854 PHOSPHATIDYLINOSITOL PHOSPHATE BIOSYNTHETIC PROCESS		20	0.33048147	1.008626	0.43305784	0.64816606	1.0	1467	tags=40%, list=28%, signal=55%	
GO:0003729 MRNA BINDING	GO:0003729 MRNA BINDING		149	0.22716844	1.0075084	0.44429162	0.64798963	1.0	1869	tags=42%, list=35%, signal=63%	
GO:0009306 PROTEIN SECRETION	GO:0009306 PROTEIN SECRETION		33	0.2971705	1.0046186	0.4417863	0.6518143	1.0	1244	tags=30%, list=24%, signal=39%	
GO:0035149 LUMEN FORMATION, OPEN TRACHEAL SYSTEM	GO:0035149 LUMEN FORMATION, OPEN TRACHEAL SYSTEM		24	0.32028115	1.0044676	0.4768977	0.64946777	1.0	789	tags=25%, list=15%, signal=29%	
GO:0006511 UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS	GO:0006511 UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS		63	0.2591223	1.003805	0.44072947	0.6482056	1.0	1872	tags=41%, list=35%, signal=63%	
GO:0043231 INTRACELLULAR MEMBRANE-BOUNDED ORGANELLE	GO:0043231 INTRACELLULAR MEMBRANE-BOUNDED ORGANELLE		53	0.26377636	1.0025089	0.44885495	0.6483985	1.0	1388	tags=32%, list=26%, signal=43%	
GO:0004843 CYSTEINE-TYPE DEUBIQUITINASE ACTIVITY	GO:0004843 CYSTEINE-TYPE DEUBIQUITINASE ACTIVITY		25	0.3123998	1.0012639	0.45007682	0.648499	1.0	942	tags=24%, list=18%, signal=29%	
GO:0036335 INTESTINAL STEM CELL HOMEOSTASIS	GO:0036335 INTESTINAL STEM CELL HOMEOSTASIS		17	0.34298187	0.9951709	0.4573269	0.660295	1.0	1313	tags=41%, list=25%, signal=55%	
GO:0035096 LARVAL MIDGUT CELL PROGRAMMED CELL DEATH	GO:0035096 LARVAL MIDGUT CELL PROGRAMMED CELL DEATH		16	0.35006973	0.9926972	0.47603834	0.66322404	1.0	1413	tags=38%, list=27%, signal=51%	
GO:0000977 RNA POLYMERASE II TRANSCRIPTION REGULATORY REGION SEQUENCE-SPECIFIC DNA BINDING	GO:0000977 RNA POLYMERASE II TRANSCRIPTION REGULATORY REGION SEQUENCE-SPECIFIC DNA BINDING		28	0.30030438	0.9926928	0.47020933	0.6605477	1.0	1113	tags=29%, list=21%, signal=36%	
GO:0017148 NEGATIVE REGULATION OF TRANSLATION	GO:0017148 NEGATIVE REGULATION OF TRANSLATION		23	0.3196631	0.9879218	0.4600639	0.66859806	1.0	2004	tags=39%, list=38%, signal=63%	
GO:0046330 POSITIVE REGULATION OF JNK CASCADE	GO:0046330 POSITIVE REGULATION OF JNK CASCADE		19	0.33657444	0.9856804	0.48122868	0.67106247	1.0	1444	tags=32%, list=27%, signal=43%	
GO:0042734 PRESYNAPTIC MEMBRANE	GO:0042734 PRESYNAPTIC MEMBRANE		19	0.33037925	0.98366064	0.4716981	0.67272216	1.0	690	tags=21%, list=13%, signal=24%	
GO:0046718 VIRAL ENTRY INTO HOST CELL	GO:0046718 VIRAL ENTRY INTO HOST CELL		22	0.31578732	0.98326564	0.485	0.67086565	1.0	229	tags=18%, list=4%, signal=19%	
GO:0005802 TRANS-GOLGI NETWORK	GO:0005802 TRANS-GOLGI NETWORK		29	0.29996288	0.9790309	0.4820847	0.6778	1.0	1482	tags=41%, list=28%, signal=57%	
GO:0006891 INTRA-GOLGI VESICLE-MEDIATED TRANSPORT	GO:0006891 INTRA-GOLGI VESICLE-MEDIATED TRANSPORT		23	0.31270608	0.9768079	0.5072	0.6801561	1.0	1019	tags=26%, list=19%, signal=32%	
GO:0046872 METAL ION BINDING	GO:0046872 METAL ION BINDING		59	0.2524298	0.9678545	0.51703703	0.6977404	1.0	1095	tags=25%, list=21%, signal=32%	
GO:0048193 GOLGI VESICLE TRANSPORT	GO:0048193 GOLGI VESICLE TRANSPORT		30	0.29099795	0.963455	0.5072698	0.7050245	1.0	1097	tags=23%, list=21%, signal=29%	
GO:0007613 MEMORY	GO:0007613 MEMORY		17	0.33210573	0.9631092	0.5183333	0.7030487	1.0	1452	tags=47%, list=27%, signal=65%	
GO:0007399 NERVOUS SYSTEM DEVELOPMENT	GO:0007399 NERVOUS SYSTEM DEVELOPMENT		44	0.2642962	0.9623648	0.5188537	0.70196587	1.0	1299	tags=32%, list=25%, signal=42%	
GO:0042742 DEFENSE RESPONSE TO BACTERIUM	GO:0042742 DEFENSE RESPONSE TO BACTERIUM		19	0.3247324	0.9620269	0.50247115	0.69999766	1.0	1166	tags=32%, list=22%, signal=40%	
GO:0000502 PROTEASOME COMPLEX	GO:0000502 PROTEASOME COMPLEX		27	0.2927688	0.95854324	0.51986754	0.70469886	1.0	1100	tags=26%, list=21%, signal=33%	
GO:0045747 POSITIVE REGULATION OF NOTCH SIGNALING PATHWAY	GO:0045747 POSITIVE REGULATION OF NOTCH SIGNALING PATHWAY		18	0.32578662	0.953313	0.49016392	0.71378314	1.0	284	tags=22%, list=5%, signal=23%	
GO:0007507 HEART DEVELOPMENT	GO:0007507 HEART DEVELOPMENT		21	0.30714822	0.9493001	0.53375196	0.71980435	1.0	635	tags=24%, list=12%, signal=27%	
GO:0005794 GOLGI APPARATUS	GO:0005794 GOLGI APPARATUS		137	0.21297811	0.9357738	0.6052632	0.7474327	1.0	1196	tags=24%, list=23%, signal=30%	
GO:0003697 SINGLE-STRANDED DNA BINDING	GO:0003697 SINGLE-STRANDED DNA BINDING		18	0.32258597	0.9352958	0.54859966	0.7457348	1.0	316	tags=17%, list=6%, signal=18%	
GO:0007030 GOLGI ORGANIZATION	GO:0007030 GOLGI ORGANIZATION		51	0.25051615	0.9326468	0.56222546	0.7489103	1.0	1097	tags=24%, list=21%, signal=29%	
GO:0045211 POSTSYNAPTIC MEMBRANE	GO:0045211 POSTSYNAPTIC MEMBRANE		34	0.2725431	0.92318666	0.5799373	0.7671092	1.0	756	tags=21%, list=14%, signal=24%	
GO:0048471 PERINUCLEAR REGION OF CYTOPLASM	GO:0048471 PERINUCLEAR REGION OF CYTOPLASM		48	0.2495247	0.920263	0.602719	0.7707884	1.0	1626	tags=38%, list=31%, signal=54%	
GO:0006281 DNA REPAIR	GO:0006281 DNA REPAIR		25	0.28342336	0.9201895	0.56058156	0.7680448	1.0	360	tags=16%, list=7%, signal=17%	
GO:0071456 CELLULAR RESPONSE TO HYPOXIA	GO:0071456 CELLULAR RESPONSE TO HYPOXIA		21	0.30190778	0.9173617	0.6006289	0.7715505	1.0	2107	tags=71%, list=40%, signal=118%	
GO:0003779 ACTIN BINDING	GO:0003779 ACTIN BINDING		44	0.2541351	0.9139877	0.6053812	0.77648574	1.0	534	tags=18%, list=10%, signal=20%	
GO:0051087 CHAPERONE BINDING	GO:0051087 CHAPERONE BINDING		25	0.2834496	0.91375554	0.5980551	0.77411956	1.0	1888	tags=40%, list=36%, signal=62%	
GO:0048190 WING DISC DORSAL/VENTRAL PATTERN FORMATION	GO:0048190 WING DISC DORSAL/VENTRAL PATTERN FORMATION		28	0.27582216	0.9128386	0.6058158	0.77333325	1.0	593	tags=21%, list=11%, signal=24%	
GO:0005884 ACTIN FILAMENT	GO:0005884 ACTIN FILAMENT		17	0.31629688	0.90939534	0.6047297	0.77790624	1.0	1111	tags=29%, list=21%, signal=37%	
GO:0000902 CELL MORPHOGENESIS	GO:0000902 CELL MORPHOGENESIS		42	0.25119817	0.9084707	0.62794346	0.7771118	1.0	1316	tags=31%, list=25%, signal=41%	
GO:0071805 POTASSIUM ION TRANSMEMBRANE TRANSPORT	GO:0071805 POTASSIUM ION TRANSMEMBRANE TRANSPORT		18	0.30190995	0.90134144	0.58861786	0.7896066	1.0	1120	tags=33%, list=21%, signal=42%	
GO:0016579 PROTEIN DEUBIQUITINATION	GO:0016579 PROTEIN DEUBIQUITINATION		27	0.27446908	0.90115726	0.6015625	0.78718245	1.0	942	tags=22%, list=18%, signal=27%	
GO:0001751 COMPOUND EYE PHOTORECEPTOR CELL DIFFERENTIATION	GO:0001751 COMPOUND EYE PHOTORECEPTOR CELL DIFFERENTIATION		15	0.32126892	0.90100026	0.5837398	0.7846942	1.0	1874	tags=47%, list=35%, signal=72%	
GO:0010506 REGULATION OF AUTOPHAGY	GO:0010506 REGULATION OF AUTOPHAGY		24	0.27952826	0.8959079	0.61064893	0.7927797	1.0	644	tags=21%, list=12%, signal=24%	
GO:0007526 LARVAL SOMATIC MUSCLE DEVELOPMENT	GO:0007526 LARVAL SOMATIC MUSCLE DEVELOPMENT		18	0.30559397	0.8933279	0.5943396	0.79536074	1.0	1554	tags=50%, list=29%, signal=71%	
GO:0042626 ATPASE-COUPLED TRANSMEMBRANE TRANSPORTER ACTIVITY	GO:0042626 ATPASE-COUPLED TRANSMEMBRANE TRANSPORTER ACTIVITY		22	0.28972682	0.8927896	0.6272285	0.79375327	1.0	897	tags=27%, list=17%, signal=33%	
GO:0030707 OVARIAN FOLLICLE CELL DEVELOPMENT	GO:0030707 OVARIAN FOLLICLE CELL DEVELOPMENT		49	0.24287602	0.8911255	0.6631098	0.79432094	1.0	1265	tags=29%, list=24%, signal=37%	
GO:0007264 SMALL GTPASE MEDIATED SIGNAL TRANSDUCTION	GO:0007264 SMALL GTPASE MEDIATED SIGNAL TRANSDUCTION		17	0.3111132	0.8885624	0.6211604	0.7969782	1.0	1796	tags=47%, list=34%, signal=71%	
GO:1903688 POSITIVE REGULATION OF BORDER FOLLICLE CELL MIGRATION	GO:1903688 POSITIVE REGULATION OF BORDER FOLLICLE CELL MIGRATION		22	0.28187534	0.8812423	0.6406995	0.8094557	1.0	299	tags=18%, list=6%, signal=19%	
GO:0007098 CENTROSOME CYCLE	GO:0007098 CENTROSOME CYCLE		19	0.3025856	0.878985	0.6272285	0.8113266	1.0	1546	tags=42%, list=29%, signal=59%	
GO:0005938 CELL CORTEX	GO:0005938 CELL CORTEX		76	0.21918178	0.87884444	0.70451236	0.8087799	1.0	559	tags=16%, list=11%, signal=17%	
GO:0006470 PROTEIN DEPHOSPHORYLATION	GO:0006470 PROTEIN DEPHOSPHORYLATION		50	0.2387972	0.8763224	0.6620795	0.811343	1.0	1601	tags=32%, list=30%, signal=45%	
GO:0001228 DNA-BINDING TRANSCRIPTION ACTIVATOR ACTIVITY, RNA POLYMERASE II-SPECIFIC	GO:0001228 DNA-BINDING TRANSCRIPTION ACTIVATOR ACTIVITY, RNA POLYMERASE II-SPECIFIC		22	0.28021297	0.876283	0.66887414	0.8085636	1.0	1800	tags=50%, list=34%, signal=76%	
GO:0007266 RHO PROTEIN SIGNAL TRANSDUCTION	GO:0007266 RHO PROTEIN SIGNAL TRANSDUCTION		15	0.31091714	0.87498426	0.64878047	0.8084852	1.0	1961	tags=47%, list=37%, signal=74%	
GO:0006906 VESICLE FUSION	GO:0006906 VESICLE FUSION		21	0.2853789	0.8741601	0.64440733	0.80730903	1.0	694	tags=14%, list=13%, signal=16%	
GO:0030036 ACTIN CYTOSKELETON ORGANIZATION	GO:0030036 ACTIN CYTOSKELETON ORGANIZATION		47	0.23684879	0.87319607	0.6729858	0.80637765	1.0	1756	tags=30%, list=33%, signal=44%	
GO:0006457 PROTEIN FOLDING	GO:0006457 PROTEIN FOLDING		58	0.22583148	0.86779046	0.7140696	0.8142545	1.0	1490	tags=31%, list=28%, signal=43%	
GO:0005703 POLYTENE CHROMOSOME PUFF	GO:0005703 POLYTENE CHROMOSOME PUFF		29	0.26509708	0.8663962	0.69206846	0.8142239	1.0	1766	tags=45%, list=33%, signal=67%	
GO:0007005 MITOCHONDRION ORGANIZATION	GO:0007005 MITOCHONDRION ORGANIZATION		31	0.25628194	0.85818243	0.71016693	0.82778883	1.0	611	tags=19%, list=12%, signal=22%	
GO:0007291 SPERM INDIVIDUALIZATION	GO:0007291 SPERM INDIVIDUALIZATION		30	0.25517386	0.8579021	0.7049689	0.8255035	1.0	1368	tags=30%, list=26%, signal=40%	
GO:0005635 NUCLEAR ENVELOPE	GO:0005635 NUCLEAR ENVELOPE		44	0.2359971	0.85485667	0.7003106	0.8287426	1.0	499	tags=16%, list=9%, signal=17%	
GO:0031902 LATE ENDOSOME MEMBRANE	GO:0031902 LATE ENDOSOME MEMBRANE		15	0.30535713	0.85484415	0.6884176	0.8259629	1.0	1017	tags=27%, list=19%, signal=33%	
GO:0051539 4 IRON, 4 SULFUR CLUSTER BINDING	GO:0051539 4 IRON, 4 SULFUR CLUSTER BINDING		17	0.2945566	0.8523737	0.6839465	0.8279764	1.0	1665	tags=41%, list=32%, signal=60%	
GO:0007156 HOMOPHILIC CELL ADHESION VIA PLASMA MEMBRANE ADHESION MOLECULES	GO:0007156 HOMOPHILIC CELL ADHESION VIA PLASMA MEMBRANE ADHESION MOLECULES		31	0.25011137	0.8495503	0.6895425	0.8307474	1.0	852	tags=23%, list=16%, signal=27%	
GO:0061077 CHAPERONE-MEDIATED PROTEIN FOLDING	GO:0061077 CHAPERONE-MEDIATED PROTEIN FOLDING		15	0.29947793	0.8484982	0.6556837	0.8299221	1.0	1911	tags=53%, list=36%, signal=83%	
GO:0010629 NEGATIVE REGULATION OF GENE EXPRESSION	GO:0010629 NEGATIVE REGULATION OF GENE EXPRESSION		26	0.25918108	0.8468146	0.6986971	0.8305281	1.0	1118	tags=23%, list=21%, signal=29%	
GO:0035091 PHOSPHATIDYLINOSITOL BINDING	GO:0035091 PHOSPHATIDYLINOSITOL BINDING		18	0.28785232	0.84488964	0.67320263	0.8316132	1.0	455	tags=17%, list=9%, signal=18%	
GO:0006508 PROTEOLYSIS	GO:0006508 PROTEOLYSIS		82	0.20536105	0.8357439	0.78045326	0.8463584	1.0	1176	tags=26%, list=22%, signal=32%	
GO:0000209 PROTEIN POLYUBIQUITINATION	GO:0000209 PROTEIN POLYUBIQUITINATION		39	0.23631448	0.83295935	0.75981873	0.84858423	1.0	1871	tags=36%, list=35%, signal=55%	
GO:0008407 CHAETA MORPHOGENESIS	GO:0008407 CHAETA MORPHOGENESIS		19	0.283256	0.83137816	0.70689654	0.84866256	1.0	1299	tags=32%, list=25%, signal=42%	
GO:0006629 LIPID METABOLIC PROCESS	GO:0006629 LIPID METABOLIC PROCESS		20	0.27086416	0.8233264	0.74915826	0.8612689	1.0	628	tags=20%, list=12%, signal=23%	
GO:0007606 SENSORY PERCEPTION OF CHEMICAL STIMULUS	GO:0007606 SENSORY PERCEPTION OF CHEMICAL STIMULUS		17	0.28539583	0.82267463	0.73495936	0.8598291	1.0	666	tags=24%, list=13%, signal=27%	
GO:0016477 CELL MIGRATION	GO:0016477 CELL MIGRATION		42	0.23132868	0.82142824	0.7551343	0.85939735	1.0	1174	tags=26%, list=22%, signal=33%	
GO:0055059 ASYMMETRIC NEUROBLAST DIVISION	GO:0055059 ASYMMETRIC NEUROBLAST DIVISION		16	0.2903971	0.82138103	0.700491	0.85667604	1.0	1913	tags=44%, list=36%, signal=68%	
GO:0071949 FAD BINDING	GO:0071949 FAD BINDING		15	0.28821373	0.82123107	0.7583333	0.8541491	1.0	1140	tags=33%, list=22%, signal=42%	
GO:0045451 POLE PLASM OSKAR MRNA LOCALIZATION	GO:0045451 POLE PLASM OSKAR MRNA LOCALIZATION		23	0.26800233	0.81781584	0.7294118	0.8575265	1.0	1627	tags=35%, list=31%, signal=50%	
