NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0008354 GERM CELL MIGRATION	GO:0008354 GERM CELL MIGRATION		16	0.5046289	1.4209485	0.07590759	0.21063735	1.0	929	tags=44%, list=18%, signal=53%	
GO:0032991 PROTEIN-CONTAINING COMPLEX	GO:0032991 PROTEIN-CONTAINING COMPLEX		44	0.39293516	1.4200174	0.054012347	0.2097259	1.0	1456	tags=36%, list=28%, signal=50%	
GO:0007474 IMAGINAL DISC-DERIVED WING VEIN SPECIFICATION	GO:0007474 IMAGINAL DISC-DERIVED WING VEIN SPECIFICATION		27	0.43607876	1.4142946	0.06785137	0.21552497	1.0	1817	tags=67%, list=34%, signal=101%	
GO:0035556 INTRACELLULAR SIGNAL TRANSDUCTION	GO:0035556 INTRACELLULAR SIGNAL TRANSDUCTION		70	0.35594112	1.4140269	0.031866465	0.2135086	1.0	1223	tags=37%, list=23%, signal=48%	
GO:0030424 AXON	GO:0030424 AXON		95	0.3380454	1.4086379	0.022503516	0.21866345	1.0	1630	tags=41%, list=31%, signal=58%	
GO:0044877 PROTEIN-CONTAINING COMPLEX BINDING	GO:0044877 PROTEIN-CONTAINING COMPLEX BINDING		15	0.50262624	1.3904738	0.094936706	0.24309291	1.0	1320	tags=53%, list=25%, signal=71%	
GO:0030532 SMALL NUCLEAR RIBONUCLEOPROTEIN COMPLEX	GO:0030532 SMALL NUCLEAR RIBONUCLEOPROTEIN COMPLEX		23	0.43781394	1.3872075	0.08040201	0.24555673	1.0	955	tags=35%, list=18%, signal=42%	
GO:0000045 AUTOPHAGOSOME ASSEMBLY	GO:0000045 AUTOPHAGOSOME ASSEMBLY		16	0.48369217	1.3818706	0.08962264	0.25141627	1.0	1287	tags=56%, list=24%, signal=74%	
GO:0045475 LOCOMOTOR RHYTHM	GO:0045475 LOCOMOTOR RHYTHM		43	0.38114345	1.3808581	0.050691243	0.25064176	1.0	1137	tags=40%, list=22%, signal=50%	
GO:0008134 TRANSCRIPTION FACTOR BINDING	GO:0008134 TRANSCRIPTION FACTOR BINDING		38	0.39417917	1.3807831	0.051364366	0.248281	1.0	1417	tags=39%, list=27%, signal=54%	
GO:0003712 TRANSCRIPTION COREGULATOR ACTIVITY	GO:0003712 TRANSCRIPTION COREGULATOR ACTIVITY		37	0.3988006	1.3782654	0.07012195	0.24964163	1.0	1141	tags=38%, list=22%, signal=48%	
GO:0006914 AUTOPHAGY	GO:0006914 AUTOPHAGY		38	0.3894806	1.3770378	0.0741301	0.2492398	1.0	1184	tags=37%, list=22%, signal=47%	
GO:0000981 DNA-BINDING TRANSCRIPTION FACTOR ACTIVITY, RNA POLYMERASE II-SPECIFIC	GO:0000981 DNA-BINDING TRANSCRIPTION FACTOR ACTIVITY, RNA POLYMERASE II-SPECIFIC		68	0.35247326	1.3736748	0.03539823	0.25168347	1.0	1923	tags=54%, list=36%, signal=84%	
GO:0006606 PROTEIN IMPORT INTO NUCLEUS	GO:0006606 PROTEIN IMPORT INTO NUCLEUS		35	0.3955376	1.3736414	0.08306709	0.24932787	1.0	1214	tags=40%, list=23%, signal=52%	
GO:0031965 NUCLEAR MEMBRANE	GO:0031965 NUCLEAR MEMBRANE		20	0.4619741	1.373307	0.10339257	0.24761614	1.0	1587	tags=50%, list=30%, signal=71%	
GO:0009953 DORSAL/VENTRAL PATTERN FORMATION	GO:0009953 DORSAL/VENTRAL PATTERN FORMATION		17	0.48271325	1.3715836	0.08990537	0.24833712	1.0	411	tags=29%, list=8%, signal=32%	
GO:0019901 PROTEIN KINASE BINDING	GO:0019901 PROTEIN KINASE BINDING		44	0.36929607	1.3675339	0.05666156	0.2527899	1.0	1713	tags=41%, list=32%, signal=60%	
